Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Component/s,Due Date,Votes,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field ((backup) External issue ID - old),Custom field ((backup) Integrator),Custom field ((backup) Issue Occurred On),Custom field ((backup) Issue Status Comment),Custom field ((backup) Platform),Custom field ((backup) Root of the problem),Custom field ((backup) Test Type),Custom field ((backup) Test case priority),Custom field ((backup) Type of Issue),Custom field ((backup) Work Type),"Custom field ((tmp, del) Build/s)","Custom field ((tmp, del?) TestCase Link)",Custom field (Account),Custom field (Actual Result),Custom field (Affected Test Cases),Custom field (Affects Build/s),Custom field (Asana link),Custom field (BT Jira ID),Custom field (BT Project),Custom field (Basecamp Link),Custom field (Billable Category),Custom field (Browser),Custom field (Browser / Environment),Custom field (Browser Version),Custom field (Business Unit),Custom field (CQ ID),Custom field (CS Project Coordinator),Custom field (Case Study necessity postpone date),Custom field (Client Device),Custom field (Client Device Version),Custom field (Cloud Version),Custom field (Core issue),Custom field (Created By),Custom field (End Date),Custom field (Epic Link),Custom field (Error Type),Custom field (Expected Result),Custom field (Found by),Custom field (Handled By (SGW Tester)),Custom field (Hardware Version),Custom field (Impact),Custom field (Impacted Areas),Custom field (Importance),Custom field (Iteration),Custom field (Level),Custom field (New Original Estimate),Custom field (Next Step),Custom field (Number of candidates),Custom field (Occurrence),Custom field (Original story points),Custom field (Parent Link),Custom field (Partner Contact),Custom field (Payment Status),Custom field (Planned Efforts (FTE)),Custom field (Priority Level),Custom field (Proxy Required),Custom field (RFX Coordinator),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Regional Coordinator),Custom field (Related Cases),Custom field (Reported Version),Custom field (Router),Custom field (SF Case No),Custom field (SGW Jira ID),Custom field (Severity/Importance),Custom field (Solution),Custom field (Start Date),Custom field (Supervisor),Custom field (TVS ID),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Team Role),Custom field (TestLink case),Custom field (Time Category),Custom field (Type of engagement),Custom field (URL),Custom field (Wiki Link),Custom field (Wires Link),Custom field (ZendeskID),Custom field (Обеспечение оборудованием),Comment,Comment,Comment
Add Recipe: Without any space inputs100 characters in the 'Title' and 'Publisher' fields when uploading a recipe and previewing is not displayed properly,QATC-815107,3494504,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.foysal,m.foysal,18/Aug/23 8:40 PM,18/Aug/23 8:46 PM,17/Nov/23 9:52 PM,,1.0,Forkify,,0,"*Steps to reproduce:*
 # Go to "" [https://forkify.qa-academy.eu/] ""
 # Clicked on Add recipe
 # Fill the title field without space 100 characters
 # Fill the Publisher field without space 100 characters
 # Fill out the rest of the required field
 # Click on Upload button
 # Observed the result

*Actual Result:* Without any space inputs100 characters in the 'Title' and 'Publisher' fields when uploading a recipe and previewing is not displayed properly

*Expected Result:* Without any space when inputs 100 characters in the title and publisher field it should be displayed properly with all information header and search result field previewing time.

*Additional information:* When searching this uploaded recipe and open it's not displayed correctly","*OS:* Win 11 pro, 64-bit, 21h2

*Browser:* Google Chrome, Version 114.0.5735.134 (Official Build) (64-bit) ",,,,,,,,Leads and Reporter only,"18/Aug/23 8:40 PM;m.foysal;title and publisher search.mp4;https://jira.a1qa.com/secure/attachment/2397603/title+and+publisher+search.mp4","18/Aug/23 8:38 PM;m.foysal;title and publisher.mp4;https://jira.a1qa.com/secure/attachment/2397604/title+and+publisher.mp4",,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idiutz:",9223372036854775807,,,,,,,2-Major,,,,,,,,,,,,,,,,,,"18/Aug/23 8:46 PM;m.foysal;*Additional Information:* This issue is same in

*MacOS:* Ventura
*Browser:* Safari, Version 16.5;;;",,
Add recipe: Without any space input 200 characters in the ingredients field when uploading a recipe and previewing is not displayed properly,QATC-815104,3494492,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.foysal,m.foysal,18/Aug/23 8:25 PM,18/Aug/23 8:45 PM,17/Nov/23 9:52 PM,,1.0,Forkify,,0,"*Steps to reproduce:*
 # Go to "" [https://forkify.qa-academy.eu/] ""
 # Clicked on Add Recipe
 # Fill out the add recipe data all required filed
 # Fille the first and last ingredients field with 200 character
 # Clicked on the upload button
 # Observed the Result

*Actual Result:* Without any space input 200 characters in the ingredients field when uploading a recipe and previewing is not displayed properly

*Expected Result:* With out any space when 200 characters are inputted it should be displayed correctly with all window information with header and search bar","*OS:* Win 11 pro, 64-bit, 21h2

*Browser:* Google Chrome, Version 114.0.5735.134 (Official Build) (64-bit) ",,,,,,,,Leads and Reporter only,"18/Aug/23 8:25 PM;m.foysal;with out  any space add recipe.mp4;https://jira.a1qa.com/secure/attachment/2397593/with+out++any+space+add+recipe.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idiurb:",9223372036854775807,,,,,,,2-Major,,,,,,,,,,,,,,,,,,"18/Aug/23 8:45 PM;m.foysal;*Additional Information:* This issue is the same in

*MacOS:* Ventura
*Browser:* Safari, Version 16.5;;;",,
Forkify: The cross button is not displayed when the window  resolution size is '782*694 to '844*702',QATC-815018,3494034,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.foysal,m.foysal,17/Aug/23 8:54 PM,17/Aug/23 8:54 PM,17/Nov/23 9:52 PM,,1.0,Forkify,,0,"*Steps to reproduce:*
 # Go to "" [https://forkify.qa-academy.eu/] ""
 # Clicked on Add Recipe 
 # Minimized the window size 782*694
 # Then Maximized the window size to 844*702
 # Observed the Add Recipe forms
 # There is no cross button displayed

*Actual Result:* The cross button is not displayed when the window  resolution size is '782*694 to '844*702'

*Expected Result:* The cross button should be displayed when the window resolution size is '782*694 to '844*702'

*Additional Information:* When the resolution size is '782*694' the Recipe data field is hidden by the side panel","*MacOS:* Ventura
*Browser:* Safari, Version 16.5",,,,,,,,Leads and Reporter only,"17/Aug/23 8:53 PM;m.foysal;cross button is not displayed.mp4;https://jira.a1qa.com/secure/attachment/2397269/cross+button+is+not+displayed.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idis2f:",9223372036854775807,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,
Searching: Search with an empty field and then uploading a recipe still searching is running,QATC-815011,3494011,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,17/Aug/23 8:30 PM,21/Aug/23 12:38 PM,16/Oct/23 6:46 PM,21/Aug/23 12:38 PM,1.0,Forkify,,0,"*Steps to reproduce:*
 # Go to "" [https://forkify.qa-academy.eu/] ""
 # Click on search button
 # Then click on add recipe
 # Fill out the required field
 # Click on upload
 # Observed the recipe

*Actual Result:* Searching with an empty field and then uploading a recipe still searching is running

*Expected Result:* Searching should be stopped when a recipe uploaded

 ","*MacOS:* Ventura
*Browser:* Safari, Version 16.5",,,,,,,,Leads and Reporter only,"17/Aug/23 8:30 PM;m.foysal;Still Search Running.mp4;https://jira.a1qa.com/secure/attachment/2397259/Still+Search+Running.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idirxb:",9223372036854775807,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,"17/Aug/23 8:31 PM;m.foysal;*Additional Information:*  This issue is same in

*OS:* Win 11 pro, 64-bit, 21h2

*Browser:* Google Chrome, Version 114.0.5735.134 (Official Build) (64-bit) ;;;",,
Add Recipe: Ingredients: Ingredients field accept more than 200 letters when uploading a recipe,QATC-814864,3493580,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.foysal,m.foysal,17/Aug/23 1:40 AM,17/Aug/23 1:42 AM,17/Nov/23 9:52 PM,,1.0,Forkify,,0,"*Steps to reproduce:*
 # Go to "" [https://forkify.qa-academy.eu/] ""
 # Click on Add Recipe
 # Fill out all the required recipe data field
 # Input more than 200 letters in the ingredients field
 # Observed the result

*Actual Result:*  Ingredients field accept more than 200 letters when uploading a recipe

*Expected Result:* Ingredients field only accept 5 to 200 characters when upload a recipe","*OS:* Win 11 pro, 64-bit, 21h2

*Browser:* Google Chrome, Version 114.0.5735.134 (Official Build) (64-bit) ",,,,,,,,Leads and Reporter only,"17/Aug/23 1:40 AM;m.foysal;ingredients accept more than 200 character.mp4;https://jira.a1qa.com/secure/attachment/2396869/ingredients+accept+more+than+200+character.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idip9z:",9223372036854775807,,,,,,,3-Average,,,,,,,,,,,,,,,,,,"17/Aug/23 1:42 AM;m.foysal;*Additional Information:* This issue is same in

*MacOS:* Ventura
*Browser:* Safari, Version 16.5;;;",,
Bookmark: Clicked on the bookmark and then press the tab button it's displayed all the bookmarked recipe,QATC-814860,3493574,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.foysal,m.foysal,17/Aug/23 1:19 AM,17/Aug/23 2:07 PM,17/Nov/23 9:52 PM,,1.0,Forkify,,0,"*Steps to reproduce:*
 # Go to "" [https://forkify.qa-academy.eu/] ""
 # Click on Bookmarked 
 # Then press the TAB key until finished the bookmarked recipe
 # Observed the recipe

*Actual Result:* Clicked on the bookmark and then press the tab button it's displayed all the bookmarked recipe

*Expected Result:* Bookmarked recipe should be displayed on the first page 12 then there should be pagination for the rest of the recipe. Only 25 recipes can be bookmarked

*Additional Information:* When reached the more than 20 recipes the main window is disappeared","*MacOS:* Ventura
*Browser:* Safari, Version 16.5",,,,,,,,Leads and Reporter only,"17/Aug/23 1:19 AM;m.foysal;bookmark displayd more than 25 recipe.mp4;https://jira.a1qa.com/secure/attachment/2396863/bookmark+displayd+more+than+25+recipe.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idip8n:",9223372036854775807,,,,,,,3-Average,,,,,,,,,,,,,,,,,,"17/Aug/23 2:07 PM;m.foysal;*Additional Information:* This issue is the same in

*MacOS:* Ventura
*Browser:* Safari, Version 16.5;;;",,
Search: Searching result recipe doesn't display the preview image,QATC-814858,3493569,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,17/Aug/23 12:58 AM,21/Aug/23 12:39 PM,17/Nov/23 9:52 PM,21/Aug/23 12:39 PM,1.0,Forkify,,0,"*Steps to reproduce:*
 # Go to "" [https://forkify.qa-academy.eu/] ""
 # Search for a recipe by title name
 # Observed the search result
 # The preview image is not displayed

*Actual Result:* Searching result recipe doesn't display the preview image

*Expected Result:* The search result should be displayed  the recipe preview image which has a valid image URL

*Additional Information:* This issue is the same for the Bookmarked recipe

 ","*MacOS:* Ventura
*Browser:* Safari, Version 16.5",,,,,,,,Leads and Reporter only,"17/Aug/23 12:58 AM;m.foysal;image not preview.mp4;https://jira.a1qa.com/secure/attachment/2396859/image+not+preview.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idip7j:",9223372036854775807,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,
Bookmark: Bookmark recipe can't be unbookmarked when clicking on the option it bookmarks that recipe multiple time,QATC-814857,3493568,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.foysal,m.foysal,17/Aug/23 12:46 AM,18/Aug/23 12:24 PM,17/Nov/23 9:52 PM,,1.0,Forkify,,0,"*Steps to reproduce:*
 # Go to "" [https://forkify.qa-academy.eu/] ""
 # Click on Add recipe
 # Fill out all required fields with valid data
 # Click on upload
 # Click on bookmark options
 # Observed the result

*Actual Result:* Bookmark recipe can't be unbookmarked when clicking on the option it bookmarks that recipe multiple time

*Expected Result:* The bookmarked recipe should be unbookmarked when clicked on the bookmark option.

*Additional Information:* When it's bookmarked the recipe the bookmarked button color does not change

 ","*MacOS:* Ventura
*Browser:* Safari, Version 16.5",,,,,,,,Leads and Reporter only,"17/Aug/23 12:46 AM;m.foysal;bookmarked recipe can't unbookmarked.mp4;https://jira.a1qa.com/secure/attachment/2396858/bookmarked+recipe+can%27t+unbookmarked.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idip7b:",9223372036854775807,,,,,,,2-Major,,,,,,,,,,,,,,,,,,"18/Aug/23 12:24 PM;m.foysal;*Summary:* Bookmark recipe doesn't unbookmarked when clicking on the option it bookmarks that recipe multiple time;;;",,
"Bookmark: Minimized window opens a  bookmarked recipe is displayed 'we could not find the recipe"" in the whole window",QATC-814854,3493536,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,16/Aug/23 10:43 PM,21/Aug/23 12:44 PM,17/Oct/23 3:08 PM,21/Aug/23 12:44 PM,1.0,Forkify,,0,"*Steps to reproduce:* 
 # Go to "" [https://forkify.qa-academy.eu/] ""
 # Minimized the window
 # Click on Bookmark
 # Click on a bookmark recipe
 # Observed the Result

{*}Actual result{*}: Minimized window opens a  bookmarked recipe is displayed 'we could not find the recipe"" in the whole window

*Expected Result:* The bookmarked recipe should be displayed with correct information

*Additional Information:* This issue happens when opening a bookmarked recipe in the maximized window and then minimizing the window","*MacOS:* Ventura
*Browser:* Safari, Version 16.5",,,,,,,,Leads and Reporter only,"16/Aug/23 10:43 PM;m.foysal;bokkmarked message displayed in the whole window.mp4;https://jira.a1qa.com/secure/attachment/2396848/bokkmarked+message+displayed+in+the+whole+window.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idip07:",9223372036854775807,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,
Bookmark: The bookmarked recipe is not displayed in the main window when clicking on it,QATC-814853,3493535,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.foysal,m.foysal,16/Aug/23 10:32 PM,16/Aug/23 10:32 PM,17/Nov/23 9:52 PM,,1.0,Forkify,,0,"*Steps to reproduce:* 
 # Go to "" [https://forkify.qa-academy.eu/] ""
 # Click on bookmarked 
 # Then Click on a bookmark recipe
 # Observed the result

*Actual Result:* The bookmarked recipe is not displayed in the main window when clicking on it

*Expected Result:* The bookmarked recipe should be displayed when clicked on it","*MacOS:* Ventura
*Browser:* Safari, Version 16.5",,,,,,,,Leads and Reporter only,"16/Aug/23 10:32 PM;m.foysal;bokkmarked recipe is not  displayed.mp4;https://jira.a1qa.com/secure/attachment/2396847/bokkmarked+recipe+is+not++displayed.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idiozz:",9223372036854775807,,,,,,,2-Major,,,,,,,,,,,,,,,,,,,,
